412582	GO:0005524	ATP binding
412582	GO:0005737	cytoplasm
412582	GO:0006457	protein folding
412582	GO:0016740	transferase activity
412319	GO:0003677	DNA binding
412319	GO:0005634	nucleus
412319	GO:0006351	transcription, DNA-templated
412319	GO:0006357	regulation of transcription from RNA polymerase II promoter
412319	GO:0008270	zinc ion binding
412319	GO:0032784	regulation of DNA-templated transcription, elongation
413415	GO:0004725	protein tyrosine phosphatase activity
413415	GO:0005509	calcium ion binding
412325	GO:0016567	protein ubiquitination
412325	GO:0031463	Cul3-RING ubiquitin ligase complex
412503	GO:0016021	integral component of membrane
413266	GO:0016021	integral component of membrane
413144	GO:0016301	kinase activity
412529	GO:0003735	structural constituent of ribosome
412529	GO:0006412	translation
412529	GO:0015934	large ribosomal subunit
412441	GO:0008158	hedgehog receptor activity
412441	GO:0016021	integral component of membrane
412279	GO:0005840	ribosome
412376	GO:0003677	DNA binding
412376	GO:0003700	transcription factor activity, sequence-specific DNA binding
412376	GO:0005634	nucleus
412376	GO:0005737	cytoplasm
412777	GO:0000166	nucleotide binding
412777	GO:0001731	formation of translation preinitiation complex
412777	GO:0003743	translation initiation factor activity
412777	GO:0005852	eukaryotic translation initiation factor 3 complex
412777	GO:0006446	regulation of translational initiation
412777	GO:0016282	eukaryotic 43S preinitiation complex
412777	GO:0033290	eukaryotic 48S preinitiation complex
413296	GO:0004843	ubiquitin-specific protease activity
413296	GO:0005622	intracellular
413296	GO:0006511	ubiquitin-dependent protein catabolic process
413296	GO:0008242	omega peptidase activity
412337	GO:0008146	sulfotransferase activity
412337	GO:0016021	integral component of membrane
412676	GO:0000287	magnesium ion binding
412676	GO:0004427	inorganic diphosphatase activity
412676	GO:0005737	cytoplasm
412676	GO:0006796	phosphate-containing compound metabolic process
412308	GO:0003677	DNA binding
411962	GO:0005198	structural molecule activity
411962	GO:0005637	nuclear inner membrane
411962	GO:0005638	lamin filament
411962	GO:0032440	activity
411990	GO:0003677	DNA binding
411990	GO:0004022	alcohol dehydrogenase (NAD) activity
411990	GO:0005509	calcium ion binding
411990	GO:0005886	plasma membrane
411990	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules
411990	GO:0016021	integral component of membrane
413206	GO:0005375	copper ion transmembrane transporter activity
413206	GO:0016021	integral component of membrane
412525	GO:0004353	activity
412525	GO:0006520	cellular amino acid metabolic process
413352	GO:0016021	integral component of membrane
413352	GO:0016192	vesicle-mediated transport
413123	GO:0004672	protein kinase activity
413123	GO:0005524	ATP binding
412450	GO:0048040	UDP-glucuronate decarboxylase activity
412334	GO:0003677	DNA binding
412334	GO:0003700	transcription factor activity, sequence-specific DNA binding
412334	GO:0005634	nucleus
412334	GO:0005667	transcription factor complex
412334	GO:0006351	transcription, DNA-templated
412334	GO:0016021	integral component of membrane
412995	GO:0016021	integral component of membrane
412502	GO:0003735	structural constituent of ribosome
412502	GO:0005840	ribosome
412502	GO:0006412	translation
412579	GO:0016020	membrane
411963	GO:0003700	transcription factor activity, sequence-specific DNA binding
411963	GO:0043565	sequence-specific DNA binding
413115	GO:0016021	integral component of membrane
412488	GO:0006099	tricarboxylic acid cycle
412488	GO:0008177	succinate dehydrogenase (ubiquinone) activity
412488	GO:0016020	membrane
412488	GO:0022900	electron transport chain
412488	GO:0050660	flavin adenine dinucleotide binding
412726	GO:0003677	DNA binding
412726	GO:0005634	nucleus
413242	GO:0004176	ATP-dependent peptidase activity
413242	GO:0004252	serine-type endopeptidase activity
413242	GO:0005524	ATP binding
413242	GO:0006515	misfolded or incompletely synthesized protein catabolic process
412073	GO:0004674	protein serine/threonine kinase activity
412073	GO:0005524	ATP binding
412693	GO:0018024	histone-lysine N-methyltransferase activity
412465	GO:0003743	translation initiation factor activity
412465	GO:0005669	transcription factor TFIID complex
412465	GO:0006367	transcription initiation from RNA polymerase II promoter
412879	GO:0043087	regulation of GTPase activity
412429	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
412429	GO:0004842	ubiquitin-protein transferase activity
412429	GO:0006457	protein folding
412429	GO:0016874	ligase activity
412512	GO:0000145	exocyst
412512	GO:0006887	exocytosis
413258	GO:0005741	mitochondrial outer membrane
413258	GO:0008308	voltage-gated anion channel activity
413258	GO:0016021	integral component of membrane
412230	GO:0004657	proline dehydrogenase activity
412230	GO:0006562	proline catabolic process
413056	GO:0003756	protein disulfide isomerase activity
413056	GO:0005623	cell
413056	GO:0016021	integral component of membrane
413056	GO:0045454	cell redox homeostasis
412788	GO:0004510	tryptophan 5-monooxygenase activity
412788	GO:0005506	iron ion binding
412788	GO:0009072	aromatic amino acid family metabolic process
412788	GO:0016597	amino acid binding
412664	GO:0003677	DNA binding
412664	GO:0004003	ATP-dependent DNA helicase activity
412664	GO:0005524	ATP binding
412664	GO:0005634	nucleus
412664	GO:0006289	nucleotide-excision repair
412071	GO:0004067	asparaginase activity
412932	GO:0035091	phosphatidylinositol binding
413264	GO:0005975	carbohydrate metabolic process
413264	GO:0008184	glycogen phosphorylase activity
413264	GO:0030170	pyridoxal phosphate binding
412443	GO:0003723	RNA binding
412443	GO:0004525	ribonuclease III activity
412443	GO:0006396	RNA processing
412787	GO:0016757	transferase activity, transferring glycosyl groups
412908	GO:0008080	N-acetyltransferase activity
412908	GO:0016021	integral component of membrane
413236	GO:0005525	GTP binding
413236	GO:0005622	intracellular
413236	GO:0007264	small GTPase mediated signal transduction
412222	GO:0003735	structural constituent of ribosome
412222	GO:0003735	structural constituent of ribosome
412222	GO:0005840	ribosome
412222	GO:0005840	ribosome
412222	GO:0006412	translation
412222	GO:0006412	translation
412183	GO:0004402	histone acetyltransferase activity
412985	GO:0006810	transport
412985	GO:0016021	integral component of membrane
413022	GO:0004721	phosphoprotein phosphatase activity
411903	GO:0004047	aminomethyltransferase activity
411903	GO:0006546	glycine catabolic process
411903	GO:0008483	transaminase activity
413052	GO:0016746	transferase activity, transferring acyl groups
412786	GO:0005509	calcium ion binding
412786	GO:0005509	calcium ion binding
412786	GO:0032440	activity
412706	GO:0004675	transmembrane receptor protein serine/threonine kinase activity
412706	GO:0004702	receptor signaling protein serine/threonine kinase activity
412706	GO:0005524	ATP binding
412706	GO:0016021	integral component of membrane
412706	GO:0046872	metal ion binding
413140	GO:0003978	UDP-glucose 4-epimerase activity
413140	GO:0050662	coenzyme binding
412266	GO:0004683	calmodulin-dependent protein kinase activity
412266	GO:0005524	ATP binding
413337	GO:0004435	phosphatidylinositol phospholipase C activity
413337	GO:0004871	signal transducer activity
413337	GO:0005509	calcium ion binding
413337	GO:0005622	intracellular
413337	GO:0016042	lipid catabolic process
413337	GO:0035556	intracellular signal transduction
413360	GO:0004435	phosphatidylinositol phospholipase C activity
413360	GO:0004871	signal transducer activity
413360	GO:0005622	intracellular
413360	GO:0016042	lipid catabolic process
413360	GO:0035556	intracellular signal transduction
413007	GO:0004767	sphingomyelin phosphodiesterase activity
413007	GO:0005525	GTP binding
413007	GO:0005622	intracellular
413007	GO:0007264	small GTPase mediated signal transduction
413007	GO:0015031	protein transport
412365	GO:0003723	RNA binding
412365	GO:0005634	nucleus
412365	GO:0005737	cytoplasm
412365	GO:0006397	mRNA processing
412060	GO:0000287	magnesium ion binding
412060	GO:0005525	GTP binding
412060	GO:0006400	tRNA modification
412060	GO:0008193	tRNA guanylyltransferase activity
412836	GO:0003995	acyl-CoA dehydrogenase activity
412836	GO:0043958	acryloyl-CoA reductase activity
412836	GO:0050660	flavin adenine dinucleotide binding
412852	GO:0005794	Golgi apparatus
412852	GO:0006886	intracellular protein transport
412852	GO:0016021	integral component of membrane
412852	GO:0016192	vesicle-mediated transport
412852	GO:0061025	membrane fusion
412335	GO:0004252	serine-type endopeptidase activity
412270	GO:0016021	integral component of membrane
412270	GO:0016757	transferase activity, transferring glycosyl groups
412105	GO:0008756	o-succinylbenzoate-CoA ligase activity
411849	GO:0003676	nucleic acid binding
411849	GO:0005634	nucleus
413235	GO:0007049	cell cycle
413268	GO:0006810	transport
413268	GO:0016021	integral component of membrane
412532	GO:0004656	procollagen-proline 4-dioxygenase activity
412532	GO:0005506	iron ion binding
412532	GO:0005783	endoplasmic reticulum
412532	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
412532	GO:0031418	L-ascorbic acid binding
412207	GO:0007094	mitotic spindle assembly checkpoint
413153	GO:0003756	protein disulfide isomerase activity
413153	GO:0005623	cell
413153	GO:0006662	glycerol ether metabolic process
413153	GO:0015035	protein disulfide oxidoreductase activity
413153	GO:0045454	cell redox homeostasis
412960	GO:0006810	transport
412960	GO:0016021	integral component of membrane
412271	GO:0005525	GTP binding
412271	GO:0005622	intracellular
412271	GO:0007264	small GTPase mediated signal transduction
412722	GO:0005634	nucleus
412722	GO:0050564	N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valine synthase activity
412173	GO:0016757	transferase activity, transferring glycosyl groups
413277	GO:0005681	spliceosomal complex
413277	GO:0008380	RNA splicing
412569	GO:0004222	metalloendopeptidase activity
412569	GO:0046872	metal ion binding
412729	GO:0003938	IMP dehydrogenase activity
412729	GO:0006177	GMP biosynthetic process
412729	GO:0046872	metal ion binding
411864	GO:0005249	voltage-gated potassium channel activity
411864	GO:0008076	voltage-gated potassium channel complex
411864	GO:0051260	protein homooligomerization
412485	GO:0006810	transport
412485	GO:0016021	integral component of membrane
411947	GO:0004842	ubiquitin-protein transferase activity
411947	GO:0008270	zinc ion binding
411947	GO:0016874	ligase activity
412343	GO:0016020	membrane
413088	GO:0003735	structural constituent of ribosome
413088	GO:0003735	structural constituent of ribosome
413088	GO:0005840	ribosome
413088	GO:0005840	ribosome
413088	GO:0006412	translation
413088	GO:0006412	translation
412898	GO:0001731	formation of translation preinitiation complex
412898	GO:0001731	formation of translation preinitiation complex
412898	GO:0003743	translation initiation factor activity
412898	GO:0003743	translation initiation factor activity
412898	GO:0005852	eukaryotic translation initiation factor 3 complex
412898	GO:0005852	eukaryotic translation initiation factor 3 complex
412898	GO:0006446	regulation of translational initiation
412898	GO:0006446	regulation of translational initiation
412898	GO:0016282	eukaryotic 43S preinitiation complex
412898	GO:0016282	eukaryotic 43S preinitiation complex
412898	GO:0033290	eukaryotic 48S preinitiation complex
412898	GO:0033290	eukaryotic 48S preinitiation complex
413259	GO:0005215	transporter activity
413259	GO:0006811	ion transport
413259	GO:0016021	integral component of membrane
413259	GO:0055085	transmembrane transport
413186	GO:0005525	GTP binding
413186	GO:0005622	intracellular
413186	GO:0007264	small GTPase mediated signal transduction
413186	GO:0015031	protein transport
413099	GO:0000166	nucleotide binding
413099	GO:0003676	nucleic acid binding
412820	GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity
412820	GO:0005525	GTP binding
412820	GO:0006094	gluconeogenesis
412820	GO:0016301	kinase activity
412184	GO:0003677	DNA binding
411970	GO:0004305	ethanolamine kinase activity
412629	GO:0003723	RNA binding
412629	GO:0005730	nucleolus
412629	GO:0006364	rRNA processing
412629	GO:0030529	ribonucleoprotein complex
413168	GO:0003948	N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity
412749	GO:0004857	enzyme inhibitor activity
412749	GO:0005739	mitochondrion
412749	GO:0045980	negative regulation of nucleotide metabolic process
413244	GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity
413244	GO:0046872	metal ion binding
413347	GO:0003735	structural constituent of ribosome
413347	GO:0006412	translation
413347	GO:0015934	large ribosomal subunit
412140	GO:0016021	integral component of membrane
412009	GO:0003743	translation initiation factor activity
413066	GO:0003756	protein disulfide isomerase activity
413066	GO:0005623	cell
413066	GO:0033741	adenylyl-sulfate reductase (glutathione) activity
413066	GO:0045454	cell redox homeostasis
413178	GO:0015078	hydrogen ion transmembrane transporter activity
413178	GO:0015991	ATP hydrolysis coupled proton transport
413178	GO:0016021	integral component of membrane
413178	GO:0016787	hydrolase activity
413178	GO:0033179	proton-transporting V-type ATPase, V0 domain
412352	GO:0015269	calcium-activated potassium channel activity
412352	GO:0016021	integral component of membrane
412293	GO:0004821	histidine-tRNA ligase activity
412293	GO:0005524	ATP binding
412293	GO:0005737	cytoplasm
412293	GO:0006418	tRNA aminoacylation for protein translation
412890	GO:0003677	DNA binding
412890	GO:0003887	DNA-directed DNA polymerase activity
412890	GO:0006260	DNA replication
412592	GO:0000786	nucleosome
412592	GO:0003677	DNA binding
412592	GO:0005634	nucleus
413141	GO:0003735	structural constituent of ribosome
413141	GO:0006412	translation
413141	GO:0015935	small ribosomal subunit
413209	GO:0004484	mRNA guanylyltransferase activity
413209	GO:0004651	polynucleotide 5'-phosphatase activity
413209	GO:0004725	protein tyrosine phosphatase activity
413209	GO:0005634	nucleus
413209	GO:0006370	7-methylguanosine mRNA capping
413209	GO:0008138	protein tyrosine/serine/threonine phosphatase activity
413068	GO:0005509	calcium ion binding
413068	GO:0032440	activity
412498	GO:0004767	sphingomyelin phosphodiesterase activity
412498	GO:0005525	GTP binding
412498	GO:0005622	intracellular
412498	GO:0007264	small GTPase mediated signal transduction
412498	GO:0016020	membrane
412710	GO:0008441	3'(2'),5'-bisphosphate nucleotidase activity
412710	GO:0046854	phosphatidylinositol phosphorylation
412710	GO:0046854	phosphatidylinositol phosphorylation
412755	GO:0007155	cell adhesion
412755	GO:0016021	integral component of membrane
412927	GO:0016021	integral component of membrane
412950	GO:0016301	kinase activity
412950	GO:0016618	hydroxypyruvate reductase activity
413239	GO:0005789	endoplasmic reticulum membrane
413239	GO:0007029	endoplasmic reticulum organization
413239	GO:0016021	integral component of membrane
412808	GO:0005391	sodium:potassium-exchanging ATPase activity
412808	GO:0005524	ATP binding
412808	GO:0016021	integral component of membrane
412808	GO:0046872	metal ion binding
413187	GO:0003676	nucleic acid binding
413187	GO:0004654	polyribonucleotide nucleotidyltransferase activity
